Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Learning_Style
20.5,,Graduate,75000,B,83.5,High,4.7,Arts,Public,Medium,Low,No,Medium,,Medium,,High,28.1,Yes,4.3,Balanced,High,0.2,Yes,Negative,No,Yes,No,No,High,2.3,High,Kinesthetic
20.5,Female,High School,50000,A,79.9,High,7.5,Arts,Private,Medium,Medium,Yes,Medium,High,High,Positive,High,24.9,No,4.0,Unhealthy,High,,Yes,Neutral,No,Yes,No,No,Medium,3.5,High,Visual
22.3,Male,Some College,40000,A,84.8,Low,7.6,Law,Private,High,Medium,No,Medium,High,,Positive,,26.7,No,6.4,Healthy,Medium,6.1,Yes,Neutral,No,Yes,No,No,Medium,2.6,,Visual
21.0,Male,Some College,75000,B,77.8,Low,6.8,Arts,Private,Medium,Medium,No,Medium,High,High,Positive,Medium,23.3,Yes,4.6,Balanced,Low,6.8,,Positive,Yes,Yes,,Yes,High,4.1,,Visual
21.5,Female,Graduate,50000,A,83.6,High,2.3,Law,Private,Medium,Medium,Yes,High,Medium,,Positive,Medium,20.4,No,7.8,Unhealthy,Low,7.4,Yes,Positive,,No,Yes,Yes,,1.8,Low,Auditory
21.5,Female,College,50000,A,83.7,Low,7.7,Medicine,Public,Low,Low,Yes,Medium,High,Medium,Neutral,Low,29.2,Yes,,Balanced,High,0.5,No,Positive,Yes,Yes,No,No,High,1.2,High,Kinesthetic
16.1,Male,College,30000,A,70.8,Medium,7.9,Engineering,Public,Low,Medium,Yes,Medium,High,Low,Positive,Low,22.4,No,5.0,Unhealthy,Medium,7.11,Yes,Positive,No,Yes,No,No,Medium,,Low,Kinesthetic
16.9,Female,College,40000,A,95.1,High,2.0,Medicine,Public,,High,Yes,High,High,Medium,Neutral,Medium,35.9,No,8.0,Healthy,High,3.2,No,Positive,No,No,Yes,Yes,Low,0.6,Low,Auditory
17.3,Female,Graduate,75000,C,89.2,Medium,2.83,Medicine,Public,Medium,High,No,Low,High,Low,Positive,High,,,5.8,Healthy,Medium,6.7,Yes,Neutral,No,Yes,No,No,High,,Medium,Visual
16.6,,Some College,30000,B,64.5,High,8.0,Engineering,Public,Medium,Low,Yes,,High,Medium,Neutral,High,30.7,Yes,5.2,Healthy,High,0.6,Yes,Neutral,No,Yes,Yes,No,High,2.8,High,Kinesthetic
20.4,Female,Some College,50000,B,89.0,,3.7,Arts,Public,High,Low,Yes,Medium,Low,High,Neutral,High,23.5,Yes,4.0,Healthy,High,1.7,Yes,Neutral,No,Yes,Yes,No,High,3.8,High,Kinesthetic
19.5,Male,Some College,50000,B,84.9,Medium,6.2,Business,Private,High,Low,Yes,High,Low,Medium,Positive,Low,39.2,Yes,4.1,Healthy,High,1.4,No,Neutral,No,Yes,No,No,High,4.6,High,Kinesthetic
19.3,Female,High School,,B,69.4,Low,7.8,Engineering,Public,Low,High,Yes,High,High,Low,Positive,Medium,37.3,Yes,,Healthy,Low,6.7,No,Positive,No,,Yes,Yes,Medium,,High,Auditory
20.4,Female,Graduate,50000,A,91.6,,,Engineering,Private,Low,Low,Yes,,Medium,Medium,Negative,High,23.6,Yes,,Balanced,High,1.8,Yes,Positive,No,Yes,No,No,High,3.7,High,Kinesthetic
19.7,Male,High School,60000,C,83.9,Medium,1.65,Business,Public,High,Medium,No,Low,High,Medium,Positive,Low,34.1,Yes,5.7,Unhealthy,Medium,5.5,Yes,Neutral,No,Yes,Yes,No,Low,4.9,Medium,Auditory
20.3,Female,Some College,,A,82.0,High,7.3,Engineering,Public,Medium,Low,Yes,High,High,Medium,Positive,High,38.8,No,9.0,Healthy,High,5.0,Yes,Negative,No,Yes,No,No,Low,1.1,Low,Visual
22.2,Male,Graduate,30000,B,80.5,,7.5,Science,Public,Low,Medium,Yes,High,High,Medium,Positive,High,,Yes,8.1,,Low,5.6,Yes,Negative,No,Yes,No,No,Medium,0.6,,Visual
20.8,Male,Some College,50000,B,80.5,Low,,Engineering,Public,Low,High,Yes,High,High,High,Negative,Medium,20.5,Yes,7.4,Healthy,Medium,3.3,Yes,,Yes,No,Yes,Yes,Low,1.1,High,Auditory
23.4,Male,Graduate,75000,B,88.8,High,1.3,Medicine,Private,High,Medium,No,High,Medium,,Positive,,21.9,,6.8,Healthy,Low,3.8,Yes,Positive,No,Yes,Yes,Yes,High,2.9,Low,Auditory
17.6,Female,Some College,30000,B,61.6,High,1.2,Engineering,Public,Low,Low,Yes,High,,High,Neutral,Low,24.0,Yes,,Healthy,High,0.8,Yes,,No,No,No,No,High,0.5,High,Kinesthetic
21.5,Female,Graduate,40000,B,,Low,5.6,Science,Private,Medium,Low,No,High,High,Medium,Negative,Medium,36.8,No,,Balanced,High,6.7,Yes,Positive,No,Yes,Yes,Yes,Medium,,Low,Auditory
24.5,Female,College,75000,B,67.7,Low,6.6,Engineering,,,High,No,Medium,Medium,Medium,Positive,High,22.6,Yes,4.3,Balanced,High,1.5,Yes,Positive,No,No,Yes,Yes,High,0.2,High,Kinesthetic
19.6,Male,High School,75000,C,68.5,Medium,6.2,Science,Private,Medium,Low,Yes,High,Medium,Medium,Neutral,High,32.9,Yes,4.7,Healthy,High,1.2,No,Neutral,Yes,Yes,No,No,High,0.3,,Kinesthetic
15.2,Male,College,60000,,,Medium,6.4,Science,Private,Medium,Medium,Yes,Low,High,Medium,Positive,Medium,24.4,,9.0,Balanced,Medium,6.0,Yes,Negative,No,Yes,Yes,No,High,4.2,Medium,Visual
17.2,Male,High School,40000,B,63.22,Low,4.8,Law,Public,High,Low,Yes,High,,High,Negative,Medium,26.4,Yes,5.0,Unhealthy,High,1.3,No,Negative,Yes,No,No,No,High,,High,Auditory
16.2,Male,High School,75000,B,84.9,High,4.4,Medicine,Public,Low,Low,Yes,,High,High,Positive,Low,37.1,No,6.9,Healthy,High,6.9,Yes,Positive,Yes,No,Yes,Yes,High,4.2,High,Kinesthetic
16.4,Female,High School,75000,C,65.6,Medium,6.0,,Public,Medium,Medium,Yes,Low,High,Medium,Positive,High,21.0,No,5.8,Unhealthy,Low,7.5,,Neutral,No,Yes,No,No,Medium,,High,Visual
15.3,Female,High School,75000,C,93.8,High,6.4,Business,Public,High,High,Yes,High,Low,Medium,Positive,Low,,Yes,6.6,Healthy,High,5.0,Yes,Positive,No,Yes,Yes,,Medium,0.6,Medium,Auditory
24.9,Female,Graduate,60000,,72.5,Medium,0.7,Medicine,Public,Medium,Low,No,Medium,Medium,Low,Positive,Medium,33.2,Yes,,Balanced,High,1.4,Yes,Neutral,Yes,Yes,Yes,No,High,,High,Auditory
22.7,Male,,40000,C,68.24,High,2.2,Law,Public,High,High,Yes,High,Medium,High,Neutral,High,34.0,Yes,7.1,Unhealthy,,7.0,Yes,Positive,No,Yes,Yes,Yes,High,1.9,Medium,Auditory
17.2,Female,Some College,50000,B,61.1,High,7.8,,Public,Medium,,Yes,Medium,High,,Positive,Medium,26.6,No,7.9,Unhealthy,Low,6.9,Yes,Neutral,No,Yes,No,Yes,Medium,3.1,High,Visual
,Male,High School,50000,B,66.2,High,6.2,Science,Private,High,High,Yes,High,High,High,Positive,Medium,24.3,Yes,6.3,,Low,2.4,No,Positive,No,No,Yes,Yes,Low,1.6,High,Auditory
,Female,High School,30000,B,74.1,Medium,6.4,Engineering,Public,Low,Medium,Yes,High,High,Medium,Positive,Medium,32.7,Yes,8.7,Healthy,Medium,5.9,Yes,Positive,Yes,Yes,No,No,High,4.9,High,Visual
19.3,Male,,30000,C,84.9,High,7.5,Business,Public,Medium,,No,Medium,High,High,Positive,,39.5,No,8.5,Healthy,Medium,6.5,Yes,Neutral,No,,Yes,No,High,0.8,High,Visual
16.0,Female,Some College,50000,B,69.8,High,0.7,Medicine,Public,Low,High,Yes,Medium,High,High,Positive,Medium,22.6,Yes,4.3,Healthy,High,-0.3,No,Negative,No,Yes,No,No,High,4.9,High,Visual
19.5,Male,Graduate,Unknown,A,63.3,Low,5.3,Business,Private,Low,Low,No,High,Low,Low,Positive,Medium,38.6,Yes,4.7,Unhealthy,High,0.7,Yes,Negative,No,Yes,No,No,High,,High,Kinesthetic
18.9,Male,Some College,40000,A,75.2,High,4.2,Business,Public,High,Low,Yes,High,Medium,High,Neutral,Low,26.7,Yes,8.1,Healthy,Low,5.3,Yes,Positive,No,Yes,Yes,Yes,Medium,0.8,Medium,Auditory
17.9,Female,College,50000,B,86.3,High,3.1,Arts,Private,Low,Medium,Yes,High,High,Low,,Low,38.8,No,7.4,Healthy,High,3.7,Yes,Positive,Yes,Yes,Yes,Yes,Medium,1.6,Medium,Auditory
23.0,Female,Graduate,,A,,High,1.6,Engineering,Public,,Low,No,High,High,Medium,Negative,Medium,23.5,Yes,5.7,Unhealthy,High,1.8,Yes,Negative,No,Yes,No,No,High,,High,Kinesthetic
21.2,Female,,75000,B,95.5,,0.8,Science,Public,High,Low,Yes,High,High,Medium,Neutral,High,24.4,Yes,5.0,Balanced,High,1.4,Yes,Negative,No,No,No,Yes,High,3.5,High,Kinesthetic
22.9,Male,High School,50000,C,69.8,Medium,6.7,Arts,Private,Low,Medium,Yes,Medium,High,Medium,Positive,High,26.3,No,6.8,Unhealthy,Low,5.0,Yes,Neutral,No,Yes,Yes,No,Medium,4.4,High,Visual
19.5,Male,Some College,60000,B,61.2,High,3.6,Business,Private,Medium,Low,No,Medium,,High,Neutral,Medium,20.1,Yes,4.6,Balanced,High,0.6,No,Negative,No,Yes,No,No,High,1.0,High,Kinesthetic
20.8,Female,Graduate,60000,B,,Medium,6.8,Science,Private,Medium,Low,No,Low,High,Low,Positive,High,31.9,Yes,7.3,Healthy,High,7.2,Yes,Positive,No,Yes,Yes,Yes,Low,1.8,Medium,Visual
20.3,Female,Some College,30000,C,85.7,Low,2.1,Law,,Medium,Low,Yes,Medium,High,Low,Negative,Medium,29.7,Yes,4.7,Unhealthy,High,1.8,No,Negative,No,No,No,No,High,2.5,High,Kinesthetic
22.0,Male,Some College,40000,C,78.7,,7.1,Engineering,Public,High,High,Yes,Low,High,Medium,Positive,Medium,31.2,Yes,,Balanced,Low,7.6,Yes,Positive,No,Yes,No,Yes,Low,2.7,Low,Visual
21.2,Male,Graduate,75000,B,68.5,Medium,,Business,Private,Low,Low,Yes,High,High,Low,Neutral,Medium,28.3,Yes,5.1,Balanced,High,1.4,Yes,Positive,Yes,No,No,No,High,4.1,High,Kinesthetic
17.8,Male,Some College,50000,C,97.1,Medium,7.1,Business,Private,Low,Medium,No,High,High,Low,Positive,High,37.2,Yes,4.1,Unhealthy,Low,6.7,Yes,Negative,No,Yes,No,No,High,2.3,Medium,Auditory
19.2,Female,Some College,30000,B,75.3,,5.3,Arts,Private,Medium,Low,Yes,Low,Low,High,Positive,Medium,32.4,Yes,4.9,Healthy,High,1.9,Yes,Neutral,No,No,,No,High,1.9,High,Kinesthetic
19.2,Female,High School,50000,,,High,2.8,Medicine,Public,Low,High,Yes,High,High,Medium,Neutral,Medium,27.6,,6.6,Balanced,High,6.3,No,Positive,No,No,Yes,Yes,Low,5.0,High,Auditory
16.8,Male,Some College,Unknown,A,90.3,Medium,6.4,Arts,Public,Medium,Low,No,Low,Medium,,Negative,High,25.3,Yes,5.2,Balanced,High,1.5,Yes,Neutral,No,Yes,No,No,High,0.4,High,Kinesthetic
21.7,Male,Some College,50000,B,61.4,High,5.0,Law,Private,Medium,High,No,High,High,Medium,Neutral,Medium,26.8,No,7.3,Unhealthy,Low,6.28,No,Positive,Yes,Yes,Yes,Yes,Medium,4.0,Low,Auditory
16.6,Male,Some College,75000,A,60.93,Medium,5.1,Science,Public,Low,Low,Yes,High,High,High,Neutral,Low,35.7,Yes,7.0,Unhealthy,High,,Yes,Positive,No,Yes,Yes,Yes,High,1.1,Medium,Auditory
21.3,Male,Graduate,60000,B,69.8,High,2.0,Engineering,Public,Low,Medium,Yes,High,Low,Medium,Neutral,Low,39.2,Yes,7.2,Balanced,Low,5.3,No,Positive,Yes,Yes,Yes,Yes,Medium,1.3,High,Auditory
15.8,Male,Graduate,60000,B,,High,3.8,Science,Public,Medium,Low,Yes,Low,Medium,,Neutral,Medium,20.9,,5.5,Healthy,High,0.7,No,Neutral,No,No,No,No,High,0.4,High,Kinesthetic
23.9,Male,College,,A,64.4,High,7.9,Medicine,Public,Low,Low,,High,Low,Medium,Negative,Medium,27.6,No,7.3,Healthy,High,5.0,No,Positive,No,No,Yes,Yes,Medium,1.2,Low,Auditory
17.0,Male,High School,75000,A,85.9,Low,8.0,Engineering,Public,Medium,Low,Yes,Medium,High,,Positive,Medium,34.3,No,5.1,Balanced,Low,8.68,Yes,Neutral,No,Yes,No,No,Medium,4.4,Low,Visual
18.5,Female,Some College,50000,A,86.8,High,,Medicine,Public,Medium,High,No,High,Low,,Neutral,Medium,33.6,Yes,6.9,Unhealthy,High,2.5,Yes,Positive,No,Yes,Yes,Yes,Low,1.3,High,Auditory
25.5,Female,Graduate,50000,B,60.5,High,7.6,Business,Public,Low,High,No,Medium,High,Medium,Positive,Medium,20.1,No,5.2,Unhealthy,High,7.7,Yes,Negative,No,Yes,,No,High,0.1,High,Visual
19.3,Male,High School,75000,A,71.4,Medium,7.7,,Private,Low,Medium,No,Medium,High,Medium,Positive,High,34.1,No,,Healthy,Medium,5.2,Yes,Neutral,Yes,Yes,No,No,Low,2.2,High,Visual
,Male,College,30000,A,,Low,6.6,Arts,Public,Medium,Medium,No,,Low,High,Positive,Medium,33.9,No,5.4,Balanced,High,6.8,Yes,Negative,Yes,Yes,Yes,No,Low,0.3,Low,Visual
,Female,College,40000,A,86.3,Low,0.5,Law,Public,Medium,,No,Medium,High,Medium,Negative,High,28.9,Yes,5.4,Balanced,High,0.9,Yes,,No,Yes,,No,High,2.3,High,Kinesthetic
16.2,Male,,60000,B,71.2,Low,4.3,Business,Public,Low,,Yes,Low,Medium,Low,Positive,Medium,36.9,Yes,5.9,Balanced,High,1.9,No,Neutral,No,No,No,,High,1.8,High,Kinesthetic
19.6,Male,Graduate,50000,C,79.0,Low,3.2,Law,Public,Medium,Low,Yes,Medium,Medium,Medium,Positive,Medium,24.7,Yes,5.1,Balanced,High,1.3,Yes,Negative,Yes,No,No,No,,4.6,High,Kinesthetic
18.4,Male,College,60000,B,71.4,Low,3.3,Arts,Private,Medium,Low,,Medium,Medium,Medium,Positive,Medium,21.3,Yes,4.8,Unhealthy,High,1.8,No,Neutral,Yes,Yes,No,Yes,High,3.7,High,Kinesthetic
22.1,Male,,50000,,62.2,Medium,4.7,Business,Private,High,Low,Yes,High,,Low,Negative,High,,Yes,4.9,Balanced,High,0.5,Yes,Positive,No,No,Yes,No,High,3.2,High,Kinesthetic
22.5,Female,High School,50000,B,74.82,Medium,0.9,Arts,Private,,Low,Yes,High,,Medium,Negative,,22.7,Yes,3.9,,High,1.4,Yes,Positive,No,,No,Yes,High,3.2,High,Kinesthetic
21.7,Female,College,,B,89.7,Low,7.5,Engineering,Private,Low,Low,No,Medium,,Low,Positive,Medium,20.6,Yes,4.0,Healthy,High,1.5,No,Positive,No,Yes,No,No,High,3.6,High,Kinesthetic
22.9,Female,Graduate,50000,A,64.2,Low,6.7,Arts,Public,Medium,Low,Yes,Low,High,Low,Positive,High,39.4,Yes,,Healthy,Low,6.0,Yes,Neutral,No,Yes,No,Yes,High,5.0,Medium,Visual
17.8,Female,,60000,A,88.8,High,7.0,Science,Private,Medium,Medium,No,Low,High,High,Positive,High,34.9,Yes,7.2,Unhealthy,Medium,7.0,No,Neutral,No,Yes,Yes,No,Low,1.4,Low,Auditory
22.7,Female,High School,30000,B,82.6,High,2.9,Business,Private,High,,No,High,Medium,Low,Neutral,Medium,28.6,Yes,4.9,Balanced,High,0.1,Yes,Positive,Yes,No,No,Yes,High,3.7,High,Kinesthetic
20.8,Male,College,60000,B,76.3,High,2.99,Law,Private,Medium,,No,High,Medium,Medium,Positive,High,25.9,No,6.9,Healthy,High,4.2,Yes,Positive,No,Yes,Yes,Yes,Low,1.8,Low,Auditory
21.8,Female,Some College,40000,B,75.7,Low,3.5,Medicine,Private,Low,Low,Yes,Low,Medium,Medium,Negative,Medium,38.9,Yes,4.2,Unhealthy,High,0.6,Yes,,Yes,No,No,Yes,High,0.3,High,Kinesthetic
19.0,Male,High School,75000,B,69.0,High,3.9,Business,Public,High,Low,Yes,High,Low,,Negative,High,,Yes,7.4,Unhealthy,Medium,5.8,No,Positive,No,No,Yes,Yes,Medium,2.4,Low,Auditory
19.9,Female,High School,40000,C,86.0,High,3.8,Engineering,Private,,Medium,Yes,High,High,Medium,Positive,Medium,19.8,No,7.1,Healthy,Medium,6.6,No,Positive,No,Yes,Yes,Yes,Low,1.3,High,Auditory
23.3,Female,College,40000,B,93.8,High,,Science,Private,Medium,,Yes,High,Low,Medium,Positive,Medium,22.8,Yes,,Healthy,Medium,,No,Positive,No,No,Yes,Yes,High,1.7,High,Auditory
19.9,Male,College,40000,A,86.4,Medium,7.6,Business,Private,High,Low,No,High,Medium,High,Positive,Medium,34.1,Yes,5.5,Balanced,High,7.89,No,Neutral,No,Yes,No,,High,4.7,High,Kinesthetic
18.9,Female,Graduate,Unknown,A,63.3,High,5.6,Business,Private,Medium,Low,No,Low,Low,Medium,Neutral,,28.5,Yes,5.0,Healthy,High,8.66,Yes,Negative,No,Yes,,No,High,3.8,High,Kinesthetic
23.1,Female,,30000,A,87.9,High,8.0,Medicine,Public,Medium,High,Yes,High,Medium,Medium,Negative,Medium,27.9,No,7.1,,High,1.3,No,Positive,No,No,Yes,Yes,Low,3.6,Medium,Auditory
22.3,Male,Some College,,B,75.4,,5.9,Engineering,,Medium,Medium,Yes,Low,High,Medium,Positive,High,36.9,Yes,6.1,Balanced,High,5.8,Yes,Positive,No,Yes,No,No,High,2.4,Medium,Visual
20.9,Female,Some College,60000,B,76.7,High,,Science,Private,Low,Low,No,High,Medium,High,Neutral,Medium,23.1,No,7.1,Unhealthy,High,6.0,Yes,Negative,No,No,Yes,Yes,Medium,1.7,Medium,Auditory
14.8,Male,Some College,,B,70.1,High,5.9,Arts,Public,Medium,Medium,Yes,High,,Low,Negative,High,28.2,Yes,,Healthy,Low,7.0,Yes,,No,Yes,Yes,Yes,High,4.6,Low,Auditory
22.9,Female,Some College,40000,,83.6,High,5.8,Arts,Private,Medium,,,Medium,High,Low,Negative,Medium,36.4,Yes,4.1,Balanced,High,-0.1,Yes,Positive,No,Yes,No,,High,0.5,High,Kinesthetic
19.9,,Graduate,50000,C,64.1,Low,5.9,Arts,Public,Low,High,,Medium,Low,Medium,Neutral,Low,37.9,Yes,,Unhealthy,High,0.4,No,Positive,No,Yes,No,Yes,High,2.1,High,Kinesthetic
18.3,Female,High School,40000,A,82.2,High,4.6,Law,Public,,,Yes,,Low,Low,Negative,Medium,32.6,Yes,4.3,Balanced,High,0.9,No,Neutral,No,No,No,No,,2.1,High,Kinesthetic
21.7,Female,Graduate,50000,A,91.9,Medium,6.2,Law,Public,,,Yes,Low,High,Low,Positive,Medium,33.8,Yes,7.3,Balanced,Medium,6.1,Yes,Negative,Yes,Yes,No,No,High,3.0,Low,Visual
18.5,Female,Some College,75000,A,61.4,Medium,,Science,Public,Medium,Medium,Yes,Medium,High,Low,Positive,Medium,20.6,No,5.0,Healthy,High,6.9,Yes,Positive,No,Yes,No,Yes,Medium,4.7,Low,Visual
19.6,Female,Graduate,30000,B,61.3,Medium,7.6,Law,Private,Low,Medium,No,,High,High,Positive,Medium,26.1,Yes,8.7,Unhealthy,Low,7.15,Yes,Positive,No,Yes,Yes,No,Low,,Low,Auditory
18.7,Male,High School,40000,B,97.4,Low,7.1,Medicine,Private,Medium,Medium,Yes,Medium,High,Medium,Positive,High,28.1,Yes,7.1,Balanced,Medium,7.5,,Positive,No,Yes,No,No,Low,2.6,Medium,Visual
17.0,,Graduate,40000,B,72.4,Medium,,Medicine,Public,Medium,Low,Yes,Medium,Medium,Medium,Positive,Medium,33.1,Yes,5.6,Balanced,High,8.15,Yes,Positive,No,Yes,Yes,No,High,1.8,High,Kinesthetic
16.9,Male,Some College,40000,B,60.4,High,8.2,Law,Private,Low,Medium,Yes,Low,High,Medium,Positive,High,24.3,No,5.8,Balanced,Medium,7.0,Yes,Neutral,No,Yes,No,,Low,2.3,Low,Visual
21.9,,High School,50000,A,,Medium,6.9,,Public,Low,Low,Yes,Medium,Medium,Low,Negative,High,34.2,,,Unhealthy,High,1.04,Yes,Negative,No,Yes,No,Yes,High,1.7,High,Kinesthetic
20.3,Male,Some College,60000,A,68.7,High,1.3,Science,Private,Medium,Low,No,Medium,Low,Medium,Positive,High,28.2,Yes,5.1,Healthy,High,8.01,Yes,Neutral,Yes,Yes,Yes,No,High,2.8,High,Kinesthetic
23.3,Female,College,75000,B,75.7,Low,0.3,Law,,,Low,No,Medium,Medium,Medium,Neutral,Low,28.5,Yes,,Unhealthy,High,1.32,Yes,Neutral,No,No,Yes,No,High,3.3,High,Kinesthetic
23.3,Male,Some College,Unknown,B,62.0,Medium,1.68,Engineering,Public,Medium,High,Yes,High,High,Medium,Positive,High,37.9,No,5.9,Healthy,Medium,5.8,Yes,Positive,No,Yes,No,No,Medium,-0.6,Medium,Visual
19.8,Male,High School,40000,C,71.9,Medium,6.6,Engineering,,,,Yes,Medium,High,High,Positive,Medium,32.3,No,5.7,Balanced,Low,,Yes,Positive,,Yes,No,No,,1.6,High,Visual
20.4,Male,High School,30000,B,91.9,Medium,6.9,Medicine,Public,Low,Low,No,Medium,High,Medium,Positive,Medium,30.0,Yes,8.3,Healthy,Low,6.7,Yes,Negative,No,Yes,Yes,No,High,4.7,Medium,Kinesthetic
19.1,Male,High School,60000,B,96.1,Medium,6.4,Business,Public,Medium,,No,,Medium,Medium,Positive,Medium,35.2,Yes,5.4,Balanced,High,0.7,Yes,Negative,No,No,No,Yes,High,0.8,High,Kinesthetic
18.2,Male,Graduate,50000,B,92.1,Medium,6.5,Business,Public,Low,Low,No,Medium,High,Medium,Positive,Medium,35.1,Yes,7.5,Unhealthy,Low,6.3,,Positive,No,Yes,No,Yes,High,2.3,High,Visual
20.0,Female,College,30000,A,,High,6.5,Science,Private,,Medium,No,Low,High,Medium,Positive,Low,20.4,Yes,6.7,Healthy,Low,6.1,Yes,,No,,No,No,Medium,1.8,Low,Visual
19.6,Male,Some College,30000,B,97.1,High,,Arts,,Medium,High,Yes,High,Low,High,Positive,Low,24.6,Yes,,Unhealthy,Low,5.7,Yes,Positive,,Yes,Yes,Yes,Low,4.0,Low,Auditory
23.1,Male,College,,B,84.4,Medium,1.0,Business,Private,Medium,Low,No,Low,High,High,Positive,High,39.2,Yes,4.0,Healthy,High,1.8,Yes,Negative,No,Yes,No,No,High,1.9,High,Kinesthetic
19.0,Female,Graduate,Unknown,C,87.9,High,4.1,Business,Private,Low,Medium,Yes,High,Low,,Positive,Medium,20.8,Yes,6.9,Unhealthy,Low,4.0,Yes,Positive,No,Yes,Yes,Yes,Low,0.1,High,Auditory
18.1,Male,Some College,75000,B,82.3,Low,6.2,Engineering,Public,High,Medium,No,Medium,High,Medium,Positive,Medium,32.0,Yes,7.3,Healthy,Medium,6.0,Yes,Positive,,Yes,Yes,Yes,Medium,,Low,Visual
18.2,,Some College,40000,B,,High,1.6,Science,Private,Low,Low,Yes,Medium,Medium,Medium,Negative,High,26.0,Yes,4.9,Unhealthy,High,-0.2,Yes,Negative,Yes,Yes,No,No,High,1.9,High,Kinesthetic
20.2,Female,Some College,50000,C,63.0,Medium,0.9,Science,Public,Medium,High,No,High,,High,Positive,High,28.0,No,6.5,Balanced,Low,5.47,No,Positive,No,Yes,Yes,Yes,Medium,3.8,High,Auditory
18.7,Male,High School,60000,A,95.0,High,4.6,,Public,Medium,Medium,No,High,Medium,,Positive,Medium,24.7,Yes,7.9,Unhealthy,High,7.8,Yes,Positive,No,No,,Yes,High,2.5,Medium,Auditory
19.6,Female,High School,30000,B,67.8,Low,1.7,Business,Private,Low,Low,,High,Low,Medium,Positive,Low,32.0,No,7.4,Healthy,Medium,1.1,Yes,Positive,No,Yes,Yes,,High,,Medium,Auditory
23.3,Female,Some College,Unknown,B,63.1,Low,6.3,Business,Public,,Medium,Yes,Medium,High,Medium,Positive,Medium,37.0,Yes,,Unhealthy,Low,5.0,Yes,Neutral,No,Yes,No,No,Medium,3.8,Medium,Visual
23.1,Female,Some College,50000,B,60.18,Low,7.2,Arts,Public,Low,Low,No,Medium,Low,High,Positive,High,,Yes,5.0,Healthy,High,0.6,Yes,Negative,No,No,No,Yes,High,4.1,High,Kinesthetic
21.1,,College,Unknown,A,88.4,High,1.5,Engineering,Public,High,Low,Yes,High,High,Medium,Positive,Medium,20.5,Yes,7.6,Unhealthy,High,2.6,Yes,Positive,No,Yes,Yes,Yes,High,4.4,Low,Auditory
21.1,Male,Some College,60000,,73.6,Low,2.8,Science,Private,High,Low,No,Medium,Medium,Medium,Positive,Medium,29.2,Yes,5.3,Unhealthy,High,1.2,No,Neutral,No,Yes,Yes,Yes,High,3.6,High,Kinesthetic
19.9,Male,Some College,30000,B,71.9,,8.0,,Public,Medium,Medium,Yes,Medium,High,Low,Positive,Low,25.9,No,8.1,Unhealthy,Low,5.1,Yes,Positive,No,Yes,No,,Medium,0.1,,Visual
19.5,Female,High School,60000,B,,,4.2,Science,Public,Medium,Medium,Yes,High,Medium,Medium,Positive,High,21.1,Yes,7.6,Unhealthy,High,1.4,Yes,Positive,No,Yes,,Yes,Medium,4.1,Medium,Auditory
21.6,Female,Graduate,40000,C,97.5,High,4.4,,Private,Medium,High,Yes,High,High,Low,Positive,Low,35.2,,7.8,Balanced,Medium,7.1,No,Positive,,No,Yes,Yes,,2.4,Low,Auditory
16.3,Female,College,Unknown,B,72.2,High,0.3,Law,Public,Medium,Low,Yes,Medium,,Medium,Negative,Medium,26.5,Yes,4.9,,,0.4,Yes,Negative,No,Yes,No,No,High,0.9,High,Kinesthetic
13.3,Male,Some College,75000,A,89.2,High,,Medicine,Private,Medium,High,Yes,,Medium,High,Negative,High,35.9,Yes,6.5,Healthy,Medium,1.1,Yes,Positive,Yes,Yes,Yes,Yes,Low,1.6,Low,Auditory
17.4,Male,Graduate,30000,A,62.2,Medium,6.3,Science,Private,Medium,Medium,Yes,Medium,High,Medium,Positive,Medium,31.4,No,5.5,Balanced,High,6.4,Yes,Positive,No,Yes,,Yes,High,4.2,Medium,Visual
21.4,Female,Graduate,40000,A,66.37,High,0.4,Law,Public,Medium,Low,No,High,Low,,Neutral,High,37.3,Yes,6.7,Balanced,Low,4.6,Yes,Positive,No,Yes,Yes,Yes,Low,1.4,High,Auditory
18.8,Male,Some College,30000,C,72.6,Low,-0.1,Business,Private,Medium,Low,No,High,,High,Neutral,Medium,,Yes,4.9,Healthy,High,1.3,Yes,,,Yes,Yes,,High,1.9,High,Kinesthetic
21.9,Female,High School,40000,B,93.1,High,,Medicine,Private,Low,High,Yes,High,High,Medium,Positive,Medium,27.2,Yes,,Balanced,Low,6.8,Yes,Negative,No,Yes,Yes,No,Medium,2.0,Medium,Visual
22.8,Female,Graduate,Unknown,B,67.8,High,7.1,Business,Private,Medium,Medium,No,High,High,High,Negative,Low,22.9,No,7.8,Healthy,Medium,1.5,Yes,Positive,No,Yes,Yes,Yes,Medium,3.4,Low,Auditory
